Date,Time,Nitric oxide,Nitrogen dioxide,Nitrogen oxides as nitrogen dioxide,PM10 particulate matter (Hourly measured),PM2.5 particulate matter (Hourly measured),Modelled Wind Direction,Modelled Wind Speed,Modelled Temperature
2020/6/27,8:00:00,3.07666,12.19996,16.91744,No data,No data,168,4.6,14.2
2020/6/27,9:00:00,3.38691,12.19857,17.39176,No data,No data,162.9,5.5,15.2
2020/6/27,10:00:00,4.08497,10.45627,16.7198,No data,No data,172.1,6.1,15.7
2020/6/27,11:00:00,2.37859,6.90651,10.55363,No data,No data,175.4,6.3,17.3
2020/6/27,12:00:00,2.74055,7.02347,11.22559,No data,No data,182.9,7.4,18.7
2020/6/27,13:00:00,1.62882,5.36833,7.86582,No data,No data,213.4,7.7,19.6
2020/6/27,14:00:00,1.55126,5.21057,7.58913,No data,No data,225.2,8.7,18.9
2020/6/27,15:00:00,1.34442,3.74901,5.81043,No data,No data,221.6,8.6,18.4
2020/6/27,16:00:00,1.99078,8.64743,11.69991,No data,No data,226.8,8.2,17.2
2020/6/27,17:00:00,1.44784,4.2624,6.48238,No data,No data,251.9,8,16.6
2020/6/27,18:00:00,1.1893,3.47302,5.29658,No data,No data,255.7,6.9,16.7
2020/6/27,19:00:00,1.73223,4.26112,6.91718,No data,No data,237.9,6.6,15.5
2020/6/27,20:00:00,0.74977,3.90979,5.05942,No data,No data,239.9,7,13.9
2020/6/27,21:00:00,0.74977,3.83073,4.98037,No data,No data,243.9,7.4,12.7
2020/6/27,22:00:00,0.82734,3.83038,5.09895,No data,No data,236.2,6.9,12.1
2020/6/27,23:00:00,0.51708,3.15982,3.95267,No data,No data,240.4,7.4,12.1
2020/6/27,24:00:00,0.74977,2.92162,4.07125,No data,No data,238.6,6.9,11.6
2020/6/28,1:00:00,0.3792,2.42261,3.00403,No data,No data,243.5,6.8,11.5
2020/6/28,2:00:00,0.31025,3.37156,3.84727,No data,No data,243.6,6.5,11
2020/6/28,3:00:00,0.54294,2.72491,3.55741,No data,No data,240.7,7.7,11
2020/6/28,4:00:00,0.31025,2.33069,2.8064,No data,No data,241.4,7.4,10.5
2020/6/28,5:00:00,0.56879,2.32953,3.20167,No data,No data,245.4,7.8,10.5
2020/6/28,6:00:00,0.59465,2.44799,3.35977,No data,No data,247,8.1,10.8
2020/6/28,7:00:00,0.51708,2.56692,3.35977,No data,No data,247.6,8.5,11.3
2020/6/28,8:00:00,0.95661,2.84164,4.30841,No data,No data,249.8,7.8,11.4
2020/6/28,9:00:00,0.69807,3.07996,4.15031,No data,No data,246.4,8,12
2020/6/28,10:00:00,1.03417,3.39466,4.98037,No data,No data,247.9,9.2,13.5
2020/6/28,11:00:00,0.95661,3.47406,4.94084,No data,No data,247.6,9.3,14.5
2020/6/28,12:00:00,1.03417,3.94804,5.53374,No data,No data,246.3,9.5,15.2
2020/6/28,13:00:00,0.85319,3.8698,5.178,No data,No data,249,9.9,15.6
2020/6/28,14:00:00,1.34442,6.59494,8.65635,No data,No data,249.5,9.8,15.3
2020/6/28,15:00:00,0.93075,3.63229,5.05942,No data,No data,250.2,9.8,15.1
2020/6/28,16:00:00,1.21515,5.72593,7.58913,No data,No data,247.8,9.3,14.8
2020/6/28,17:00:00,1.47369,5.96193,8.22156,No data,No data,245.5,8.2,14.2
2020/6/28,18:00:00,1.03417,6.16153,7.74724,No data,No data,247.5,8.3,13.4
2020/6/28,19:00:00,0.9049,6.39927,7.78677,No data,No data,243.6,8,12.7
2020/6/28,20:00:00,1.26686,6.23954,8.18203,No data,No data,241.1,7.8,12
2020/6/28,21:00:00,0.85319,5.76708,7.07528,No data,No data,243.8,7.8,11.7
2020/6/28,22:00:00,0.59465,4.30575,5.21753,No data,No data,244.4,8.6,11.4
2020/6/28,23:00:00,0.67221,4.22635,5.25705,No data,No data,244.9,8.6,11
2020/6/28,24:00:00,0.64636,3.63356,4.62463,No data,No data,246.4,8.2,11
2020/6/29,1:00:00,0.79286,3.4748,4.6905,No data,No data,248.4,8.3,11
